Species	Genus	Family	SubFamily	MajorGroup
Acanthocercus_adramitanus	Acanthocercus	Agamidae	Agaminae	Acrodonta
Acanthocercus_annectens	Acanthocercus	Agamidae	Agaminae	Acrodonta
Acanthocercus_atricollis	Acanthocercus	Agamidae	Agaminae	Acrodonta
Acanthocercus_cyanogaster	Acanthocercus	Agamidae	Agaminae	Acrodonta
Acanthocercus_yemensis	Acanthocercus	Agamidae	Agaminae	Acrodonta
Acanthosaura_armata	Acanthosaura	Agamidae	Draconinae	Acrodonta
Acanthosaura_capra	Acanthosaura	Agamidae	Draconinae	Acrodonta
Acanthosaura_crucigera	Acanthosaura	Agamidae	Draconinae	Acrodonta
Acanthosaura_lepidogaster	Acanthosaura	Agamidae	Draconinae	Acrodonta
Agama_aculeata	Agama	Agamidae	Agaminae	Acrodonta
Agama_africana	Agama	Agamidae	Agaminae	Acrodonta
Agama_agama	Agama	Agamidae	Agaminae	Acrodonta
Agama_anchietae	Agama	Agamidae	Agaminae	Acrodonta
Agama_armata	Agama	Agamidae	Agaminae	Acrodonta
Agama_atra	Agama	Agamidae	Agaminae	Acrodonta
Agama_boensis	Agama	Agamidae	Agaminae	Acrodonta
Agama_bottegi	Agama	Agamidae	Agaminae	Acrodonta
Agama_boueti	Agama	Agamidae	Agaminae	Acrodonta
Agama_boulengeri	Agama	Agamidae	Agaminae	Acrodonta
Agama_caudospinosa	Agama	Agamidae	Agaminae	Acrodonta
Agama_cristata	Agama	Agamidae	Agaminae	Acrodonta
Agama_doriae	Agama	Agamidae	Agaminae	Acrodonta
Agama_etoshae	Agama	Agamidae	Agaminae	Acrodonta
Agama_finchi	Agama	Agamidae	Agaminae	Acrodonta
Agama_gracilimembris	Agama	Agamidae	Agaminae	Acrodonta
Agama_hartmanni	Agama	Agamidae	Agaminae	Acrodonta
Agama_hispida	Agama	Agamidae	Agaminae	Acrodonta
Agama_impalearis	Agama	Agamidae	Agaminae	Acrodonta
Agama_insularis	Agama	Agamidae	Agaminae	Acrodonta
Agama_kaimosae	Agama	Agamidae	Agaminae	Acrodonta
Agama_kirkii	Agama	Agamidae	Agaminae	Acrodonta
Agama_knobeli	Agama	Agamidae	Agaminae	Acrodonta
Agama_lebretoni	Agama	Agamidae	Agaminae	Acrodonta
Agama_lionotus	Agama	Agamidae	Agaminae	Acrodonta
Agama_montana	Agama	Agamidae	Agaminae	Acrodonta
Agama_mossambica	Agama	Agamidae	Agaminae	Acrodonta
Agama_mwanzae	Agama	Agamidae	Agaminae	Acrodonta
Agama_parafricana	Agama	Agamidae	Agaminae	Acrodonta
Agama_paragama	Agama	Agamidae	Agaminae	Acrodonta
Agama_planiceps	Agama	Agamidae	Agaminae	Acrodonta
Agama_robecchii	Agama	Agamidae	Agaminae	Acrodonta
Agama_rueppelli	Agama	Agamidae	Agaminae	Acrodonta
Agama_sankaranica	Agama	Agamidae	Agaminae	Acrodonta
Agama_spinosa	Agama	Agamidae	Agaminae	Acrodonta
Agama_tassiliensis	Agama	Agamidae	Agaminae	Acrodonta
Agama_turuensis	Agama	Agamidae	Agaminae	Acrodonta
Agama_weidholzi	Agama	Agamidae	Agaminae	Acrodonta
Amblyrhynchus_cristatus	Amblyrhynchus	Iguanidae	NA	Pleurodonta
Amphibolurus_muricatus	Amphibolurus	Agamidae	Amphibolurinae	Acrodonta
Amphibolurus_norrisi	Amphibolurus	Agamidae	Amphibolurinae	Acrodonta
Anisolepis_grilli	Anisolepis	Leiosauridae	Enyaliinae	Pleurodonta
Anisolepis_longicauda	Anisolepis	Leiosauridae	Enyaliinae	Pleurodonta
Anolis_acutus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_aeneus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_aequatorialis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_agassizi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ahli	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_alayoni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_alfaroi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_aliniger	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_allisoni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_allogus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_alocomyos	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_altae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_altitudinalis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_alumina	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_alutaceus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_alvarezdeltoroi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_amplisquamosus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_anatoloros	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_anfiloquioi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_angusticeps	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_anisolepis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_annectens	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_anoriensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_antonii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_apletolepis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_apletophallus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_apollinaris	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_aquaticus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_argenteolus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_argillaceus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_armouri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_auratus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_bahorucoensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_baleatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_baracoae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_barahonae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_barbatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_barbouri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_barkeri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_bartschi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_benedikti	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_bicaorum	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_bimaculatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_biporcatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_bitectus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_blanquillanus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_bombiceps	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_bonairensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_boulengerianus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_brasiliensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_bremeri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_brevirostris	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_brunneus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_calimae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_campbelli	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_capito	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_carlliebi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_carolinensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_carpenteri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_casildae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_caudalis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_centralis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_chamaeleonides	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_chloris	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_chlorocyanus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_chlorodius	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_christophei	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_chrysolepis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_clivicola	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cobanensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_coelestinus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_compressicauda	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_confusus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_conspersus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cooki	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_crassulus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cristatellus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cryptolimifrons	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cupeyalensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cupreus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cuprinus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cusuco	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cuvieri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cyanopleurus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cybotes	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_cymbops	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_danieli	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_darlingtoni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_desechensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_dissimilis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_distichus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_divius	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_dolichocephalus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_duellmani	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_dunni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_eladioi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_elcopeensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_equestris	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ernestwilliamsi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_etheridgei	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_eugenegrahami	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_euskalerriari	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_evermanni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_extremus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_fasciatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ferreus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_festae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_fitchi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_fortunensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_fowleri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_fraseri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_frenatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_fugitivus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_fuscoauratus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_gadovii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_gaigei	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_garmani	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_garridoi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_gemmosus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ginaelisae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_gingivinus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_gonavensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_grahami	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_griseus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_gruuo	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_guafe	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_guamuhaya	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_guazuma	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_gundlachi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_haetianus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_hendersoni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_heterodermus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_heteropholidotus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_hobartsmithi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_homolechis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_huilae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_humilis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_hyacinthogularis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ibanezi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_imias	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_immaculogularis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_inderenae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_inexpectatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_insignis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_insolitus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_intermedius	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_isolepis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_jacare	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_johnmeyeri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_jubar	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_kemptoni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_koopmani	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_kreutzi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_krugi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_kunayalae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_laeviventris	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_landestoyi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_latifrons	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_leachii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_leditzigorum	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_lemurinus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_leucodera	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_limifrons	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_lineatopus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_lineatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_liogaster	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_lionotus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_litoralis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_lividus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_longiceps	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_longitibialis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_lososi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_loveridgei	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_loysiana	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_luciae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_lucius	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_luteogularis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_macilentus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_macrinii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_maculigula	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_magnaphallus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_marcanoi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_mariarum	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_marmoratus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_marron	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_marsupialis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_matudai	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_maynardi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_medemi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_megapholidotus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_meridionalis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_mestrei	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_microlepidotus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_microtus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_milleri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_monensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_monteverde	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_monticola	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_morazani	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_nasofrontalis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_naufragus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_neblininus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_nebuloides	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_nebulosus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_nicefori	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_nietoi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_noblei	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_nubilus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_occultus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ocelloscapularis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_oculatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_olssoni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_omiltemanus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_onca	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_opalinus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ophiolepis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_oporinus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_orcesi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ortonii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_osa	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_otongae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_oxylophus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pachypus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_parilis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_parvicirculatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_paternus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pecuarius	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pentaprion	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_peraccae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_petersii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_peucephilus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_phyllorhinus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pijolense	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_placidus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_planiceps	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_podocarpus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_poecilopus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_poei	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pogus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_polylepis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_poncensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_porcatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_porcus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_prasinorius	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_princeps	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_proboscis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pseudokemptoni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pseudopachypus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pseudotigrinus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pulchellus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pumilus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_punctatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_purpurescens	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_purpurgularis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_pygmaeus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_quadriocellifer	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_quaggulus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_quercorum	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_reconditus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_rejectus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_richardii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ricordii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_rodriguezii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_roquet	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_rubiginosus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_rubribarbaris	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_rubribarbus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ruibali	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_sabanus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_sacamecatensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_sagrei	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_schiedii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_schwartzi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_scriptus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_scypheus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_semilineatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_sericeus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_sheplani	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_shrevei	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_singularis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_smallwoodi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_smaragdinus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_sminthus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_soinii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_spectrum	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_stevepoei	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_strahmi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_stratulus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_subocularis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_tandai	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_taylori	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_tenorioensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_terraealtae	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_terueli	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_tigrinus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_tolimensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_townsendi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_trachyderma	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_transversalis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_trinitatis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_tropidogaster	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_tropidolepis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_tropidonotus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_uniformis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_unilobatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_urraoi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_utilensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_valencienni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_vanidicus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_vanzolinii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_ventrimaculatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_vermiculatus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_viridius	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_vittigerus	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_wattsii	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_websteri	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_wermuthi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_whitemani	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_williamsmittermeierorum	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_wilsoni	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_woodi	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_yoroensis	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_zapotecorum	Anolis	Dactyloidae	NA	Pleurodonta
Anolis_zeus	Anolis	Dactyloidae	NA	Pleurodonta
Aphaniotis_fusca	Aphaniotis	Agamidae	Draconinae	Acrodonta
Archaius_tigris	Archaius	Chamaeleonidae	NA	Acrodonta
Basiliscus_basiliscus	Basiliscus	Corytophanidae	NA	Pleurodonta
Basiliscus_galeritus	Basiliscus	Corytophanidae	NA	Pleurodonta
Basiliscus_plumifrons	Basiliscus	Corytophanidae	NA	Pleurodonta
Basiliscus_vittatus	Basiliscus	Corytophanidae	NA	Pleurodonta
Brachylophus_bulabula	Brachylophus	Iguanidae	NA	Pleurodonta
Brachylophus_fasciatus	Brachylophus	Iguanidae	NA	Pleurodonta
Brachylophus_vitiensis	Brachylophus	Iguanidae	NA	Pleurodonta
Bradypodion_atromontanum	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_caeruleogula	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_caffer	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_damaranum	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_dracomontanum	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_gutturale	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_kentanicum	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_melanocephalum	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_nemorale	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_ngomeense	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_occidentale	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_pumilum	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_setaroi	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_taeniabronchum	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_thamnobates	Bradypodion	Chamaeleonidae	NA	Acrodonta
Bradypodion_transvaalense	Bradypodion	Chamaeleonidae	NA	Acrodonta
